,ID,Label,Count
207,least squares,least squares,4870
208,virtual environment,virtual environment,4817
209,query processing,query processing,4812
210,image retrieval,image retrieval,4794
211,intrusion detection,intrusion detection,4780
212,kalman filter,kalman filter,4773
213,power allocation,power allocation,4768
214,successfully applied,successfully applied,4753
215,state space,state space,4752
216,power control,power control,4742
217,optimization algorithm,optimization algorithm,4698
218,data model,data model,4692
219,decision makers,decision makers,4655
220,shared memory,shared memory,4650
221,augmented reality,augmented reality,4650
222,genetic algorithm ga,genetic algorithm ga,4646
223,boundary conditions,boundary conditions,4644
224,moving objects,moving objects,4632
225,numerical simulation,numerical simulation,4615
226,motion estimation,motion estimation,4598
227,global optimization,global optimization,4572
228,computer graphics,computer graphics,4554
229,transmit power,transmit power,4536
230,computational model,computational model,4512
231,similarity measure,similarity measure,4502
232,application domains,application domains,4493
233,united states,united states,4474
234,fault detection,fault detection,4474
235,relevant information,relevant information,4472
236,dynamical systems,dynamical systems,4467
237,social networking,social networking,4419
238,dimensionality reduction,dimensionality reduction,4396
239,business process,business process,4366
240,base stations,base stations,4362
241,iterative algorithm,iterative algorithm,4351
242,frequency domain,frequency domain,4349
243,significantly reduced,significantly reduced,4345
244,first order,first order,4340
245,significantly reduces,significantly reduces,4324
246,control strategy,control strategy,4308
247,based methods,based methods,4276
248,parallel processing,parallel processing,4250
249,hardware implementation,hardware implementation,4240
250,convergence rate,convergence rate,4221
251,health care,health care,4210
252,energy efficient,energy efficient,4197
253,received signal,received signal,4174
254,empirical studies,empirical studies,4169
255,linear regression,linear regression,4167
256,feature vectors,feature vectors,4158
257,message passing,message passing,4157
258,linear combination,linear combination,4156
259,virtual machines,virtual machines,4132
260,time delay,time delay,4120
261,learning algorithms,learning algorithms,4073
262,combinatorial optimization,combinatorial optimization,4056
263,linear systems,linear systems,4036
264,network resources,network resources,4026
265,artificial neural networks,artificial neural networks,4001
266,transfer function,transfer function,3977
267,computational resources,computational resources,3966
268,web search,web search,3957
269,numerical solution,numerical solution,3930
270,smart grid,smart grid,3924
271,petri net,petri net,3911
272,ubiquitous computing,ubiquitous computing,3908
273,parallel computing,parallel computing,3907
274,image sequences,image sequences,3889
275,power supply,power supply,3884
276,low level,low level,3875
277,virtual machine,virtual machine,3870
278,feature vector,feature vector,3869
279,decision trees,decision trees,3866
280,network lifetime,network lifetime,3860
281,network architecture,network architecture,3849
282,time domain,time domain,3835
283,computational experiments,computational experiments,3834
284,multiple access,multiple access,3828
285,parameter values,parameter values,3821
286,optical flow,optical flow,3814
287,adaptive control,adaptive control,3809
288,simulated data,simulated data,3779
289,supply voltage,supply voltage,3779
290,probability distribution,probability distribution,3767
291,dynamic range,dynamic range,3766
292,probability density function,probability density function,3751
293,anomaly detection,anomaly detection,3750
294,user interaction,user interaction,3746
295,resource utilization,resource utilization,3738
296,nash equilibrium,nash equilibrium,3732
297,clustering algorithms,clustering algorithms,3723
298,probability distributions,probability distributions,3722
299,genetic programming,genetic programming,3699
300,recommender systems,recommender systems,3698
301,spatial information,spatial information,3691
302,path planning,path planning,3690
303,online learning,online learning,3677
304,routing algorithm,routing algorithm,3675
305,image compression,image compression,3657
306,approximation algorithms,approximation algorithms,3657
307,control law,control law,3657
308,transmission power,transmission power,3642
309,data center,data center,3629
310,nearest neighbor,nearest neighbor,3622
311,static analysis,static analysis,3601
312,network coding,network coding,3600
313,object detection,object detection,3576
314,three dimensional,three dimensional,3570
315,mobile computing,mobile computing,3569
316,image features,image features,3564
317,wiley periodicals inc,wiley periodicals inc,3564
318,formal verification,formal verification,3561
319,web application,web application,3519
320,knowledge base,knowledge base,3511
321,integrated circuits,integrated circuits,3500
322,web server,web server,3500
323,image classification,image classification,3474
324,error correction,error correction,3472
325,network structure,network structure,3471
326,logistic regression,logistic regression,3468
327,data fusion,data fusion,3460
328,scheduling algorithms,scheduling algorithms,3459
329,magnetic resonance,magnetic resonance,3458
330,greedy algorithm,greedy algorithm,3456
331,stability analysis,stability analysis,3454
332,bit error rate,bit error rate,3428
333,randomly generated,randomly generated,3426
334,search results,search results,3426
335,original image,original image,3404
336,artificial neural network,artificial neural network,3383
337,international society for optical engineering downloading,international society for optical engineering downloading,3379
338,higher education,higher education,3377
339,false positives,false positives,3374
340,fixed point,fixed point,3372
341,cellular network,cellular network,3342
342,benchmark datasets,benchmark datasets,3338
343,image registration,image registration,3326
344,power dissipation,power dissipation,3319
345,training samples,training samples,3315
346,false alarm,false alarm,3296
347,particle swarm optimization pso,particle swarm optimization pso,3284
348,fault tolerant,fault tolerant,3283
349,motion planning,motion planning,3280
350,grid computing,grid computing,3280
351,detection algorithm,detection algorithm,3277
352,network management,network management,3272
353,hidden markov models,hidden markov models,3266
354,raw data,raw data,3245
355,data stream,data stream,3238
356,congestion control,congestion control,3238
357,hidden markov model,hidden markov model,3227
358,input signal,input signal,3206
359,network model,network model,3202
360,large datasets,large datasets,3200
361,location information,location information,3200
362,large data,large data,3200
363,video streaming,video streaming,3200
364,integer programming,integer programming,3196
365,monte carlo simulation,monte carlo simulation,3191
366,breast cancer,breast cancer,3178
367,deep learning,deep learning,3174
368,unsupervised learning,unsupervised learning,3163
369,control algorithm,control algorithm,3161
370,information security,information security,3160
371,coding scheme,coding scheme,3156
372,parallel programming,parallel programming,3155
373,query language,query language,3148
374,process model,process model,3148
375,application domain,application domain,3143
376,human brain,human brain,3137
377,controller design,controller design,3135
378,collaborative filtering,collaborative filtering,3126
379,parallel algorithm,parallel algorithm,3124
380,fault diagnosis,fault diagnosis,3121
381,power management,power management,3118
382,partial differential equations,partial differential equations,3114
383,random walk,random walk,3111
384,highly dynamic,highly dynamic,3103
385,detection performance,detection performance,3102
386,operating conditions,operating conditions,3084
387,cellular automata,cellular automata,3078
388,admission control,admission control,3074
389,use cases,use cases,3072
390,data transmission,data transmission,3061
391,fading channels,fading channels,3060
392,search engines,search engines,3054
393,local information,local information,3050
394,input image,input image,3039
395,statistical methods,statistical methods,3032
396,basis functions,basis functions,3031
397,network throughput,network throughput,3031
398,active learning,active learning,3030
399,collected data,collected data,3027
400,relational database,relational database,3024
401,context information,context information,3024
402,fitness function,fitness function,3011
403,special issue,special issue,3005
404,edge detection,edge detection,3002
405,real datasets,real datasets,3000
406,classification performance,classification performance,2999
407,graphical user interface,graphical user interface,2993
408,real images,real images,2983
409,formal methods,formal methods,2969
410,numerical methods,numerical methods,2942
411,benchmark problems,benchmark problems,2941
412,text mining,text mining,2937
413,best practices,best practices,2933
414,in vivo,in vivo,2931
415,existing schemes,existing schemes,2925
416,facial expressions,facial expressions,2924
417,molecular dynamics,molecular dynamics,2909
418,domain experts,domain experts,2901
419,the world wide web,the world wide web,2899
420,machine translation,machine translation,2897
421,performance gain,performance gain,2895
422,error rates,error rates,2894
423,power system,power system,2891
424,use case,use case,2883
425,sample size,sample size,2880
426,transmission rate,transmission rate,2872
427,prediction model,prediction model,2872
428,similarity measures,similarity measures,2869
429,control method,control method,2866
430,nonlinear systems,nonlinear systems,2862
431,network design,network design,2858
432,finite difference,finite difference,2851
433,model checking,model checking,2849
434,feature set,feature set,2847
435,software design,software design,2846
436,spatial resolution,spatial resolution,2842
437,control problem,control problem,2827
438,knowledge discovery,knowledge discovery,2821
439,discrete cosine transform,discrete cosine transform,2813
440,bit error rate ber,bit error rate ber,2810
441,mathematical models,mathematical models,2810
442,method outperforms,method outperforms,2797
443,complex networks,complex networks,2797
444,control design,control design,2790
445,measurement results,measurement results,2790
446,content analysis,content analysis,2787
447,facial expression,facial expression,2778
448,error probability,error probability,2777
449,digital library,digital library,2776
450,social interaction,social interaction,2775
451,total cost,total cost,2774
452,two dimensional,two dimensional,2771
453,traffic load,traffic load,2769
454,an open source,an open source,2759
455,association rules,association rules,2748
456,numerical method,numerical method,2747
457,computational models,computational models,2734
458,limited resources,limited resources,2734
459,convergence speed,convergence speed,2733
460,face images,face images,2719
461,near optimal,near optimal,2713
462,logic programming,logic programming,2711
463,digital libraries,digital libraries,2711
464,parallel algorithms,parallel algorithms,2710
465,noise reduction,noise reduction,2707
466,exhaustive search,exhaustive search,2707
467,compressed sensing,compressed sensing,2701
468,fuzzy set,fuzzy set,2700
469,multiple users,multiple users,2699
470,random access,random access,2694
471,membership functions,membership functions,2686
472,prior information,prior information,2681
473,space exploration,space exploration,2674
474,knowledge representation,knowledge representation,2674
475,object tracking,object tracking,2667
476,cost functions,cost functions,2661
477,end user,end user,2660
478,network topologies,network topologies,2660
479,radial basis function,radial basis function,2654
480,network nodes,network nodes,2651
481,channel estimation,channel estimation,2646
482,information extraction,information extraction,2644
483,formal specification,formal specification,2636
484,user preferences,user preferences,2626
485,resource sharing,resource sharing,2619
486,high performance computing,high performance computing,2613
487,temporal logic,temporal logic,2611
488,wireless sensor network wsn,wireless sensor network wsn,2601
489,tabu search,tabu search,2599
490,discrete wavelet transform,discrete wavelet transform,2597
491,hierarchical clustering,hierarchical clustering,2596
492,image reconstruction,image reconstruction,2592
493,routing algorithms,routing algorithms,2585
494,classification results,classification results,2585
495,optimization algorithms,optimization algorithms,2581
496,virtual world,virtual world,2578
497,in situ,in situ,2578
498,channel state information csi,channel state information csi,2567
499,amino acid,amino acid,2563
500,natural images,natural images,2560
501,impulse response,impulse response,2557
502,power efficiency,power efficiency,2557
503,network security,network security,2555
504,speech signal,speech signal,2553
505,requirements engineering,requirements engineering,2552
506,reverse engineering,reverse engineering,2532
507,access network,access network,2524
508,file system,file system,2514
509,distributed applications,distributed applications,2513
510,specification language,specification language,2506
511,secret key,secret key,2504
512,spanning tree,spanning tree,2503
513,game theory,game theory,2503
514,wireless mesh networks,wireless mesh networks,2494
515,open source software,open source software,2485
516,biological systems,biological systems,2484
517,decision maker,decision maker,2483
518,lyapunov function,lyapunov function,2480
519,utility function,utility function,2479
520,image sequence,image sequence,2477
521,approximate solution,approximate solution,2476
522,missing data,missing data,2476
523,collision avoidance,collision avoidance,2467
524,iterative method,iterative method,2466
525,code generation,code generation,2462
526,em algorithm,em algorithm,2460
527,project management,project management,2451
528,reference model,reference model,2450
529,cluster analysis,cluster analysis,2448
530,mobile phone,mobile phone,2447
531,error detection,error detection,2446
532,side information,side information,2446
533,important features,important features,2443
534,motion capture,motion capture,2441
535,feature points,feature points,2441
536,detection method,detection method,2436
537,exact solution,exact solution,2434
538,expert systems,expert systems,2429
539,relational databases,relational databases,2428
540,closed loop,closed loop,2425
541,personal information,personal information,2414
542,waiting time,waiting time,2410
543,gradient descent,gradient descent,2407
544,differential evolution,differential evolution,2406
545,convex hull,convex hull,2405
546,distributed memory,distributed memory,2403
547,network connectivity,network connectivity,2402
548,error analysis,error analysis,2400
549,network capacity,network capacity,2400
550,operational semantics,operational semantics,2398
551,large data sets,large data sets,2395
552,power systems,power systems,2394
553,control strategies,control strategies,2392
554,routing protocols,routing protocols,2390
555,naive bayes,naive bayes,2384
556,moving object,moving object,2375
557,response times,response times,2374
558,linked data,linked data,2363
559,natural language processing,natural language processing,2360
560,data integration,data integration,2357
561,network conditions,network conditions,2354
562,particle filter,particle filter,2352
563,maximum degree,maximum degree,2348
564,pose estimation,pose estimation,2348
565,planar graphs,planar graphs,2341
566,features extracted,features extracted,2340
567,change detection,change detection,2335
568,motion control,motion control,2334
569,random variable,random variable,2327
570,application layer,application layer,2324
571,sensitive information,sensitive information,2321
572,risk management,risk management,2317
573,cognitive radio cr,cognitive radio cr,2311
574,smart phones,smart phones,2308
575,pattern classification,pattern classification,2304
576,resource constraints,resource constraints,2299
577,recognition rate,recognition rate,2290
578,network analysis,network analysis,2284
579,random forest,random forest,2276
580,empirical study,empirical study,2275
581,tool support,tool support,2274
582,supply chains,supply chains,2274
583,web page,web page,2272
584,face detection,face detection,2268
585,circuit design,circuit design,2254
586,computational burden,computational burden,2249
587,third party,third party,2245
588,low computational complexity,low computational complexity,2245
589,optimal solutions,optimal solutions,2239
590,product development,product development,2232
591,functional magnetic resonance imaging,functional magnetic resonance imaging,2232
592,monte carlo simulations,monte carlo simulations,2232
593,phase noise,phase noise,2230
594,quality assessment,quality assessment,2229
595,online social networks,online social networks,2227
596,power grid,power grid,2220
597,convergence analysis,convergence analysis,2211
598,sentiment analysis,sentiment analysis,2209
599,source node,source node,2207
600,incomplete information,incomplete information,2196
601,independent component analysis ica,independent component analysis ica,2194
602,compressive sensing,compressive sensing,2194
603,search algorithms,search algorithms,2191
604,relay nodes,relay nodes,2189
605,recommender system,recommender system,2185
606,video quality,video quality,2184
607,fully distributed,fully distributed,2182
608,small size,small size,2180
609,developing countries,developing countries,2175
610,question answering,question answering,2175
611,linear program,linear program,2173
612,wireless communications,wireless communications,2172
613,probability density,probability density,2171
614,process models,process models,2169
615,segmentation algorithm,segmentation algorithm,2169
616,path loss,path loss,2167
617,classification algorithms,classification algorithms,2167
618,traffic flow,traffic flow,2164
619,point cloud,point cloud,2156
620,labeled data,labeled data,2155
621,event detection,event detection,2150
622,compression ratio,compression ratio,2145
623,web pages,web pages,2144
624,level set,level set,2139
625,fuzzy clustering,fuzzy clustering,2121
626,urban areas,urban areas,2121
627,scheduling problem,scheduling problem,2110
628,decision problem,decision problem,2109
629,distance measure,distance measure,2108
630,tracking algorithm,tracking algorithm,2098
631,mixture model,mixture model,2093
632,gaussian process,gaussian process,2092
633,ordinary differential equations,ordinary differential equations,2090
634,maximum likelihood ml,maximum likelihood ml,2090
635,service provider,service provider,2087
636,belief propagation,belief propagation,2084
637,unknown parameters,unknown parameters,2084
638,finite field,finite field,2079
639,recognition accuracy,recognition accuracy,2070
640,decision support systems,decision support systems,2064
641,false positive,false positive,2064
642,ant colony,ant colony,2059
643,storage systems,storage systems,2057
644,differential equation,differential equation,2053
645,detection rate,detection rate,2051
646,data warehouse,data warehouse,2047
647,social interactions,social interactions,2046
648,web browser,web browser,2045
649,service discovery,service discovery,2045
650,asymptotic stability,asymptotic stability,2044
651,shortest paths,shortest paths,2040
652,speech signals,speech signals,2027
653,undirected graph,undirected graph,2025
654,integrated circuit,integrated circuit,2023
655,hardware architecture,hardware architecture,2021
656,rate control,rate control,2020
657,coding efficiency,coding efficiency,2020
658,activity recognition,activity recognition,2019
659,hidden markov model hmm,hidden markov model hmm,2018
660,primary users,primary users,2018
661,embedded system,embedded system,2015
662,artificial neural network ann,artificial neural network ann,2011
663,fault coverage,fault coverage,2005
664,singular value decomposition,singular value decomposition,2000
665,constant factor,constant factor,2000
666,timing constraints,timing constraints,1999
667,independent component analysis,independent component analysis,1995
668,renewable energy,renewable energy,1994
669,quadratic programming,quadratic programming,1990
670,image database,image database,1989
671,benchmark circuits,benchmark circuits,1986
672,overlay network,overlay network,1986
673,classification problems,classification problems,1976
674,input variables,input variables,1975
675,connected graph,connected graph,1973
676,digital signal processing,digital signal processing,1972
677,time series data,time series data,1971
678,processing elements,processing elements,1967
679,relevance feedback,relevance feedback,1965
680,text classification,text classification,1964
681,obstacle avoidance,obstacle avoidance,1958
682,blocking probability,blocking probability,1957
683,recurrent neural networks,recurrent neural networks,1949
684,total variation,total variation,1945
685,sensor network,sensor network,1945
686,classification algorithm,classification algorithm,1942
687,false alarms,false alarms,1941
688,optimization model,optimization model,1940
689,structured data,structured data,1939
690,approximation ratio,approximation ratio,1937
691,intelligent systems,intelligent systems,1932
692,automatic speech recognition,automatic speech recognition,1927
693,key management,key management,1927
694,field programmable gate array,field programmable gate array,1918
695,wavelet transform,wavelet transform,1917
696,synthetic aperture radar,synthetic aperture radar,1916
697,filter bank,filter bank,1916
698,feasible solution,feasible solution,1913
699,motion compensation,motion compensation,1911
700,generative model,generative model,1911
701,image denoising,image denoising,1906
702,output voltage,output voltage,1904
703,total power,total power,1899
704,virtual worlds,virtual worlds,1898
705,sensitive data,sensitive data,1898
706,network layer,network layer,1894
707,task scheduling,task scheduling,1890
708,input space,input space,1890
709,unlabeled data,unlabeled data,1888
710,business model,business model,1886
711,network congestion,network congestion,1880
712,packet losses,packet losses,1879
713,normal form,normal form,1876
714,synthetic aperture radar sar,synthetic aperture radar sar,1868
715,training examples,training examples,1867
716,connected components,connected components,1866
717,model predictive control,model predictive control,1865
718,support vector machines svms,support vector machines svms,1864
719,interface design,interface design,1863
720,power saving,power saving,1860
721,ldpc codes,ldpc codes,1860
722,content delivery,content delivery,1856
723,image coding,image coding,1855
724,medical imaging,medical imaging,1855
725,transfer functions,transfer functions,1849
726,competitive advantage,competitive advantage,1848
727,process variations,process variations,1843
728,gesture recognition,gesture recognition,1842
729,systems biology,systems biology,1842
730,error bounds,error bounds,1839
731,global optimum,global optimum,1839
732,depth information,depth information,1838
733,supply chain management,supply chain management,1831
734,rough set,rough set,1827
735,computed tomography,computed tomography,1824
736,performance measure,performance measure,1824
737,decoding algorithm,decoding algorithm,1821
738,information theory,information theory,1819
739,biological processes,biological processes,1818
740,image restoration,image restoration,1817
741,output feedback,output feedback,1817
742,video games,video games,1816
743,partial differential equation,partial differential equation,1814
744,recognition performance,recognition performance,1813
745,complex network,complex network,1811
746,input signals,input signals,1808
747,bandwidth allocation,bandwidth allocation,1803
748,face image,face image,1803
749,elliptic curve,elliptic curve,1802
750,service oriented,service oriented,1802
751,data aggregation,data aggregation,1788
752,land cover,land cover,1779
753,motion vectors,motion vectors,1763
754,color space,color space,1760
755,rough sets,rough sets,1760
756,control algorithms,control algorithms,1758
757,texture features,texture features,1756
758,point clouds,point clouds,1756
759,time delays,time delays,1752
760,rough set theory,rough set theory,1751
761,constrained optimization,constrained optimization,1750
762,markov random field,markov random field,1749
763,packet delay,packet delay,1743
764,mobile ad hoc networks manets,mobile ad hoc networks manets,1742
765,global information,global information,1740
766,network operators,network operators,1736
767,trajectory tracking,trajectory tracking,1734
768,segmentation results,segmentation results,1733
769,color image,color image,1732
770,time slot,time slot,1732
771,access point,access point,1731
772,classification problem,classification problem,1729
773,access points,access points,1728
774,embedded software,embedded software,1724
775,white matter,white matter,1724
776,line segments,line segments,1722
777,mobility management,mobility management,1718
778,fading channel,fading channel,1717
779,prediction accuracy,prediction accuracy,1715
780,utility functions,utility functions,1710
781,gaussian mixture model,gaussian mixture model,1707
782,decision rules,decision rules,1706
783,character recognition,character recognition,1704
784,chip area,chip area,1704
785,feature sets,feature sets,1702
786,loss function,loss function,1699
787,wireless sensor networks wsn,wireless sensor networks wsn,1699
788,large databases,large databases,1698
789,multiple antennas,multiple antennas,1698
790,loosely coupled,loosely coupled,1694
791,ber performance,ber performance,1694
792,interconnection networks,interconnection networks,1692
793,visual tracking,visual tracking,1692
794,image representation,image representation,1692
795,high school,high school,1691
796,low energy,low energy,1691
797,electric field,electric field,1688
798,hough transform,hough transform,1687
799,fuzzy sets,fuzzy sets,1686
800,virtual environments,virtual environments,1686
801,biological data,biological data,1686
802,nash equilibria,nash equilibria,1685
803,soft computing,soft computing,1684
804,optical networks,optical networks,1679
805,decision process,decision process,1675
806,social sciences,social sciences,1674
807,forward error correction,forward error correction,1674
808,benchmark functions,benchmark functions,1672
809,packet delivery,packet delivery,1671
810,recurrent neural network,recurrent neural network,1666
811,decision problems,decision problems,1664
812,lighting conditions,lighting conditions,1663
813,analytical expressions,analytical expressions,1661
814,linear prediction,linear prediction,1658
815,computational intelligence,computational intelligence,1658
816,primary user,primary user,1655
817,power reduction,power reduction,1652
818,efficient parallel,efficient parallel,1651
819,singular value decomposition svd,singular value decomposition svd,1649
820,multiobjective optimization,multiobjective optimization,1649
821,memory management,memory management,1648
822,network services,network services,1645
823,control performance,control performance,1645
824,hash functions,hash functions,1644
825,cellular systems,cellular systems,1644
826,diversity gain,diversity gain,1644
827,rayleigh fading,rayleigh fading,1641
828,smart home,smart home,1638
829,computer games,computer games,1632
830,target tracking,target tracking,1632
831,linear discriminant analysis,linear discriminant analysis,1631
832,image acquisition,image acquisition,1627
833,model checker,model checker,1627
834,depth map,depth map,1624
835,nonlinear programming,nonlinear programming,1623
836,finite element method,finite element method,1623
837,numerical solutions,numerical solutions,1619
838,save energy,save energy,1618
839,analytical models,analytical models,1612
840,image content,image content,1612
841,threshold voltage,threshold voltage,1611
842,magnetic resonance imaging mri,magnetic resonance imaging mri,1610
843,vector quantization,vector quantization,1602
844,file systems,file systems,1600
845,generalization performance,generalization performance,1600
846,query results,query results,1597
847,product design,product design,1595
848,hash function,hash function,1592
849,online algorithm,online algorithm,1590
850,risk assessment,risk assessment,1588
851,swarm intelligence,swarm intelligence,1587
852,user profiles,user profiles,1584
853,destination node,destination node,1583
854,linear matrix inequalities,linear matrix inequalities,1582
855,benchmark data sets,benchmark data sets,1582
856,machine vision,machine vision,1576
857,video coding,video coding,1576
858,confidence intervals,confidence intervals,1575
859,principal components,principal components,1575
860,output power,output power,1575
861,business processes,business processes,1575
862,access networks,access networks,1573
863,multilayer perceptron,multilayer perceptron,1569
864,web sites,web sites,1560
865,software quality,software quality,1559
866,social network analysis,social network analysis,1559
867,proposed protocol,proposed protocol,1555
868,blind source separation,blind source separation,1551
869,mean square,mean square,1550
870,traveling salesman problem,traveling salesman problem,1550
871,classification model,classification model,1550
872,objective functions,objective functions,1548
873,relevant features,relevant features,1547
874,personal data,personal data,1547
875,finite state machine,finite state machine,1545
876,virtual reality vr,virtual reality vr,1541
877,coding schemes,coding schemes,1537
878,local optima,local optima,1534
879,fixed points,fixed points,1532
880,speech enhancement,speech enhancement,1531
881,random walks,random walks,1531
