,Phrase Quality,Phrase,Year
137,0.9573685948,user interfaces,1986
138,0.9564981111,normal form,1986
139,0.9474522225,closed form,1986
140,0.9282313804,higher order,1986
141,0.9131681034,query processing,1986
142,0.9122802378,average case,1986
143,0.8859487361,data model,1986
144,0.8716581639,discrete event,1986
145,0.8513781972,parallel algorithms,1986
146,0.8395444827,case study,1986
147,0.7709594519,performance measures,1986
148,0.7300471505,paper considers,1986
149,0.7210599771,efficient algorithm,1986
150,0.6768354188,model based,1986
151,0.6734657516,oriented programming,1986
152,0.6078052501,smalltalk 80,1986
153,0.9858652588,simulated annealing,1987
154,0.974953746,mobile robot,1987
155,0.9749168537,image analysis,1987
156,0.9721533915,knowledge acquisition,1987
157,0.9714547245,distributed database,1987
158,0.971228807,knowledge engineering,1987
159,0.9692298245,random access,1987
160,0.9684612347,data management,1987
161,0.9677247817,binary search,1987
162,0.9648301499,motion planning,1987
163,0.9607733849,optimal control,1987
164,0.9592871793,gaussian noise,1987
165,0.9587197181,information technology,1987
166,0.9558764632,relational databases,1987
167,0.9530268793,input output,1987
168,0.947251395,relational model,1987
169,0.9459260608,message passing,1987
170,0.9305092106,robot manipulators,1987
171,0.9223115757,logic programs,1987
172,0.9211379421,robot arm,1987
173,0.9206276075,document retrieval,1987
174,0.9144330011,systolic arrays,1987
175,0.9138030777,parallel algorithm,1987
176,0.9135679939,term rewriting,1987
177,0.9121010004,differential equations,1987
178,0.9115136171,explanation based,1987
179,0.9096554241,signal to noise ratio,1987
180,0.9069440703,planar graphs,1987
181,0.900119805,end user,1987
182,0.8993816056,flexible manufacturing,1987
183,0.8946339797,knowledge bases,1987
184,0.8926157939,end effector,1987
185,0.8901889506,straight line,1987
186,0.8645006021,higher level,1987
187,0.8273774253,pmc free article,1987
188,0.8062480792,modula 2,1987
189,0.7553505138,degrees of freedom,1987
190,0.7451461304,based approach,1987
191,0.7441684434,abstract data types,1987
192,0.7250988608,manufacturing systems,1987
193,0.7173179911,signal to noise,1987
194,0.6654863373,paper introduces,1987
195,0.6436904568,language processing,1987
196,0.6396966326,paper shows,1987
197,0.6237917822,decision support system,1987
198,0.6041211901,based systems,1987
199,0.6039752863,linear systems,1987
200,0.9831886258,optical flow,1988
201,0.9818394569,neural networks,1988
202,0.9818155317,neural network,1988
203,0.9788606453,relational algebra,1988
204,0.9786274454,petri net,1988
205,0.9784634508,load balancing,1988
206,0.9763393977,machine learning,1988
207,0.9723625769,machine translation,1988
208,0.971428412,binary tree,1988
209,0.9706789254,systolic array,1988
210,0.9698007603,inference engine,1988
211,0.9684747216,query language,1988
212,0.9673532456,fault tolerance,1988
213,0.9668523803,pattern matching,1988
214,0.9644196306,error detection,1988
215,0.963625705,partial evaluation,1988
216,0.961460209,distributed computing,1988
217,0.958834119,token ring,1988
218,0.9569651264,spanning tree,1988
219,0.95451285,specification language,1988
220,0.9523179018,natural language processing,1988
221,0.9509291467,genetic algorithms,1988
222,0.9502526547,scale space,1988
223,0.9429652431,discrete event simulation,1988
224,0.9419420285,associative memory,1988
225,0.9348132456,transaction processing,1988
226,0.9340506466,impulse response,1988
227,0.9337638696,software design,1988
228,0.9319787122,data compression,1988
229,0.9280856941,control flow,1988
230,0.9168000584,parameter estimation,1988
231,0.9156637987,life cycle,1988
232,0.9135581707,deductive databases,1988
233,0.9084300521,knowledge based systems,1988
234,0.908151344,end users,1988
235,0.8978265158,parallel programs,1988
236,0.8946379277,object recognition,1988
237,0.8941585372,main memory,1988
238,0.8912426108,common knowledge,1988
239,0.8886438546,collision free,1988
240,0.8843603555,closed loop,1988
241,0.8829571671,syntax directed,1988
242,0.8803523579,test pattern,1988
243,0.8793407182,programmable logic,1988
244,0.87664096,domain knowledge,1988
245,0.8760620617,gray level,1988
246,0.8756802133,test set,1988
247,0.8751932942,search algorithm,1988
248,0.8748758276,fault coverage,1988
249,0.8745699846,test generation,1988
250,0.8721033696,distributed operating,1988
251,0.8695219973,stuck open,1988
252,0.8660933286,switch level,1988
253,0.8617837549,minimum distance,1988
254,0.8582764602,fault simulation,1988
255,0.8576817443,interconnection network,1988
256,0.8575400011,spanning trees,1988
257,0.852244124,complex objects,1988
258,0.8408788565,vlsi circuits,1988
259,0.8401624278,data abstraction,1988
260,0.8383494603,search space,1988
261,0.8319044526,optimization problem,1988
262,0.8265221826,retrieval systems,1988
263,0.8245412229,massively parallel,1988
264,0.8231531323,gate level,1988
265,0.8143289289,optimization problems,1988
266,0.8101553519,computer aided design,1988
267,0.805758663,parallel computation,1988
268,0.8023100399,multiprocessor systems,1988
269,0.7931286881,processing elements,1988
270,0.7765602989,data transfer,1988
271,0.7749769253,branch and bound,1988
272,0.7697291098,bit error,1988
273,0.7688237122,flow analysis,1988
274,0.7612847822,control scheme,1988
275,0.7481925392,divide and conquer,1988
276,0.7371272054,development environment,1988
277,0.7253761086,software systems,1988
278,0.7240565135,communication networks,1988
279,0.7114244866,degree of freedom,1988
280,0.704631898,development process,1988
281,0.6984009122,main result,1988
282,0.6773941413,abstractrnrnthis paper,1988
283,0.671161154,linear equations,1988
284,0.6343033135,real time systems,1988
285,0.6323946703,input data,1988
286,0.6036607295,based learning,1988
287,0.6026765712,upper and lower,1988
288,0.9757108676,packet radio,1989
289,0.9733558431,finite element,1989
290,0.9710229199,square root,1989
291,0.9709568984,mutual exclusion,1989
292,0.9704047777,constraint satisfaction,1989
293,0.9703599566,rapid prototyping,1989
294,0.9691738431,edge detection,1989
295,0.9657075956,temporal logic,1989
296,0.9564010943,distributed memory,1989
297,0.9549964468,bit rate,1989
298,0.9522324154,transfer function,1989
299,0.9505244335,combinatorial optimization,1989
300,0.9484254778,markov chain,1989
301,0.9480295516,parallel programming,1989
302,0.9466560262,blood pressure,1989
303,0.9417855515,neural net,1989
304,0.9395085907,mobile robots,1989
305,0.9391522487,motion control,1989
306,0.9385211044,traveling salesman,1989
307,0.938019235,hough transform,1989
308,0.9372446981,database design,1989
309,0.9369716508,path planning,1989
310,0.9355587022,attribute grammars,1989
311,0.933158399,feature extraction,1989
312,0.9237526899,functional programming,1989
313,0.9197891524,database management systems,1989
314,0.9191318322,pattern generation,1989
315,0.9180626671,building blocks,1989
316,0.917627632,explanation based learning,1989
317,0.9166692862,access control,1989
318,0.9139176599,minimum cost,1989
319,0.9129696281,state assignment,1989
320,0.9118503623,fault diagnosis,1989
321,0.9088050184,domain theory,1989
322,0.9067152892,expressive power,1989
323,0.9062548156,convolutional codes,1989
324,0.9060163252,cost function,1989
325,0.9051249053,state transition,1989
326,0.9042604519,chromatic number,1989
327,0.9014992701,process control,1989
328,0.9012034353,connection machine,1989
329,0.9000271987,set covering,1989
330,0.8958098103,high resolution,1989
331,0.8945868187,interconnection networks,1989
332,0.8925165846,parallel execution,1989
333,0.890295376,domain specific,1989
334,0.8897859377,circuit simulation,1989
335,0.8884837757,times faster,1989
336,0.8825217182,error recovery,1989
337,0.8794057495,loosely coupled,1989
338,0.8778080515,concurrent programming,1989
339,0.8711667399,multi level,1989
340,0.8706901886,response times,1989
341,0.8703333699,product form,1989
342,0.8694951572,problem solver,1989
343,0.8674054551,learning algorithms,1989
344,0.8667041105,state machine,1989
345,0.8664786195,data path,1989
346,0.8662589799,code generation,1989
347,0.8638064583,robot control,1989
348,0.8615718985,scheduling problem,1989
349,0.8613215714,interface design,1989
350,0.8585867352,parallel processor,1989
351,0.858035043,assignment problem,1989
352,0.8555487196,flow problem,1989
353,0.8546951415,application specific,1989
354,0.853791095,data sets,1989
355,0.8485908375,software process,1989
356,0.8468130257,control law,1989
357,0.8459152972,object oriented database,1989
358,0.845468633,boolean functions,1989
359,0.8444527173,phase shift,1989
360,0.8397266935,learning algorithm,1989
361,0.8320436349,case based,1989
362,0.821790152,control strategy,1989
363,0.8216321686,asymptotically optimal,1989
364,0.8214285022,cost effective,1989
365,0.8131747555,parallel computers,1989
366,0.8122961467,learning process,1989
367,0.8102465798,process model,1989
368,0.8068112763,automatic generation,1989
369,0.8058122899,production systems,1989
370,0.7907813723,computational model,1989
371,0.7834870681,description language,1989
372,0.7634342654,publisher summaryrnthis chapter,1989
373,0.7592741025,program development,1989
374,0.7478301384,control strategies,1989
375,0.7289702827,based reasoning,1989
376,0.7219670846,computationally efficient,1989
377,0.7072503282,parallel implementation,1989
378,0.6786436619,paper addresses,1989
379,0.6746245178,efficient implementation,1989
380,0.6727897009,management systems,1989
381,0.6723868328,orders of magnitude,1989
382,0.6694076672,numerical examples,1989
383,0.6602373026,upper and lower bounds,1989
384,0.6579630741,position and orientation,1989
385,0.6565274762,application programs,1989
386,0.6556865215,image data,1989
387,0.6467675191,order of magnitude,1989
388,0.6417869738,support systems,1989
389,0.640184139,control systems,1989
390,0.6313616814,computational results,1989
391,0.6190503846,digital signal,1989
392,0.6162317613,hardware and software,1989
393,0.6118943335,numerical results,1989
394,0.6099276491,equations of motion,1989
395,0.9818079242,formal specification,1990
396,0.9753576794,computational geometry,1990
397,0.9723626834,image segmentation,1990
398,0.9720056544,exception handling,1990
399,0.9691780178,integer programming,1990
400,0.9687466057,automated reasoning,1990
401,0.9668723847,operational semantics,1990
402,0.9661068716,sequential circuits,1990
403,0.9655186326,transitive closure,1990
404,0.9654194016,common lisp,1990
405,0.9629850142,inverse kinematics,1990
406,0.959542598,logic synthesis,1990
407,0.9583071906,formal methods,1990
408,0.9566945383,modal logic,1990
409,0.9556354138,single server,1990
410,0.953621372,artificial intelligence ai,1990
411,0.9518577397,visual programming,1990
412,0.9503802877,fiber optic,1990
413,0.9496702007,conflict resolution,1990
414,0.9496629279,sensitivity analysis,1990
415,0.9467929012,random variables,1990
416,0.9427276034,complexity classes,1990
417,0.9416681703,graph theoretic,1990
418,0.9416592251,visual language,1990
419,0.9356411626,genetic algorithm,1990
420,0.9355306363,high level synthesis,1990
421,0.93391466,decision tree,1990
422,0.9326865218,truth maintenance,1990
423,0.929720392,digital signal processing,1990
424,0.9288581568,query optimization,1990
425,0.9282875403,belief networks,1990
426,0.9270372192,default reasoning,1990
427,0.9262280772,dempster shafer,1990
428,0.9262265764,combinational circuits,1990
429,0.9250036388,probabilistic inference,1990
430,0.9246880592,probability distribution,1990
431,0.9217367574,fault detection,1990
432,0.9207822714,planar graph,1990
433,0.9206793856,human factors,1990
434,0.9179087645,piecewise linear,1990
435,0.9172601973,theorem proving,1990
436,0.9153528631,event driven,1990
437,0.9117469889,source code,1990
438,0.9109778849,nonmonotonic reasoning,1990
439,0.8966804543,probability distributions,1990
440,0.8930289866,boundary scan,1990
441,0.8893916627,metropolitan area,1990
442,0.8889098215,communication complexity,1990
443,0.8879759136,steiner tree,1990
444,0.8877588062,standard cell,1990
445,0.8875413544,shared memory multiprocessors,1990
446,0.8846288466,finite state machines,1990
447,0.8845973917,shared memory multiprocessor,1990
448,0.8795773103,timing constraints,1990
449,0.8734854619,belief functions,1990
450,0.8714095311,coding scheme,1990
451,0.8631103915,test pattern generation,1990
452,0.853338183,delay fault,1990
453,0.85290587,queueing network,1990
454,0.8466346767,high quality,1990
455,0.8423446554,multiple valued,1990
456,0.83207832,computational efficiency,1990
457,0.8302828423,memory access,1990
458,0.8286452242,flow control,1990
459,0.8272161655,long term,1990
460,0.8256319176,first order logic,1990
461,0.8193105534,data collection,1990
462,0.8162205543,data driven,1990
463,0.8030936981,artificial neural,1990
464,0.8018691062,replicated data,1990
465,0.8017816107,parallel architecture,1990
466,0.8012523357,transition systems,1990
467,0.7978922428,distributed processing,1990
468,0.7952460684,routing algorithm,1990
469,0.7949691134,program execution,1990
470,0.7937996009,proof systems,1990
471,0.7912798921,matching algorithm,1990
472,0.7878516138,object oriented data,1990
473,0.7853090636,end to end,1990
474,0.7773793229,parallel program,1990
475,0.7691279467,hardware implementation,1990
476,0.7688028545,valued logic,1990
477,0.7687025622,state machines,1990
478,0.7666421716,information flow,1990
479,0.7656242752,signal processor,1990
480,0.7580143101,shift keying,1990
481,0.7578697288,squared error,1990
482,0.7575656689,fault model,1990
483,0.7350681794,recent years,1990
484,0.7309484267,closely related,1990
485,0.7248679822,shared data,1990
486,0.7197038821,white gaussian,1990
487,0.7149436368,database management system,1990
488,0.7007636669,systems development,1990
489,0.69659085,journal on computing,1990
490,0.6965459042,data objects,1990
491,0.6887879892,wide range,1990
492,0.6864731183,direct sequence,1990
493,0.685771043,future research,1990
494,0.6763994695,simulation study,1990
495,0.6516803208,optimal solutions,1990
496,0.6510562033,m 1,1990
497,0.6478912269,an object oriented,1990
498,0.6459587978,distributed data,1990
499,0.6459026697,communication systems,1990
500,0.645406962,hidden markov,1990
501,0.6320960348,efficient algorithms,1990
502,0.6307323034,easy to implement,1990
503,0.6216678812,previously proposed,1990
504,0.6189290393,noise ratio,1990
505,0.6140229435,markov models,1990
506,0.6051882736,built in self test,1990
507,0.6002819734,printed circuit,1990
508,0.9627185242,finite state machine,1991
509,0.9611673907,type inference,1991
510,0.9598599584,global optimization,1991
511,0.9562327005,covariance matrix,1991
512,0.9523954958,kalman filter,1991
513,0.9505946723,artificial neural networks,1991
514,0.9488928911,supervised learning,1991
515,0.9452208026,garbage collection,1991
516,0.9446824942,reinforcement learning,1991
517,0.9419162506,neural nets,1991
518,0.9410657803,combinational logic,1991
519,0.9407282622,network management,1991
520,0.9370975888,packet switched,1991
521,0.9355571897,memory management,1991
522,0.933497218,linear algebra,1991
523,0.9328535985,motion estimation,1991
524,0.9319178842,decision trees,1991
525,0.9286589571,processor arrays,1991
526,0.9285626905,synthetic aperture radar,1991
527,0.9281729711,fuzzy logic,1991
528,0.9278419289,software testing,1991
529,0.9265805874,shortest paths,1991
530,0.9262014021,plan recognition,1991
531,0.9250744725,directed graph,1991
532,0.9230077324,case studies,1991
533,0.9196734282,finite automata,1991
534,0.918761611,statistical analysis,1991
535,0.9170293314,erew pram,1991
536,0.9155517579,image coding,1991
537,0.9151052077,connected components,1991
538,0.911294534,multistage interconnection,1991
539,0.909044933,character recognition,1991
540,0.9080292942,constructive induction,1991
541,0.9079604135,nearest neighbor,1991
542,0.9075007727,load sharing,1991
543,0.9054194669,formal specifications,1991
544,0.9041367537,software reliability,1991
545,0.9035154212,communication protocols,1991
546,0.9008255769,default logic,1991
547,0.9005710642,image sequences,1991
548,0.9000007473,benchmark circuits,1991
549,0.8990022873,bipartite graphs,1991
550,0.8984228464,binary trees,1991
551,0.8981665118,parallel machines,1991
552,0.897382129,routing problem,1991
553,0.8958043619,binary images,1991
554,0.8928656971,conjugate gradient,1991
555,0.8923238163,cmos circuits,1991
556,0.8906133537,cyclic codes,1991
557,0.8785348625,design methodology,1991
558,0.8780109989,fault free,1991
559,0.8772591167,geographical information,1991
560,0.8769261709,traveling salesman problem,1991
561,0.8766224097,cramer rao,1991
562,0.8741535172,scan path,1991
563,0.8709821956,atm networks,1991
564,0.8673547076,image sequence,1991
565,0.8663244144,trade offs,1991
566,0.8657708518,mesh connected,1991
567,0.863525345,vlsi implementation,1991
568,0.8628011215,constant factor,1991
569,0.8625352203,random field,1991
570,0.8617507117,parallel architectures,1991
571,0.8613717133,training set,1991
572,0.8612323368,path delay,1991
573,0.8607590729,asynchronous transfer mode,1991
574,0.8590805583,asynchronous transfer mode atm,1991
575,0.8541664428,congestion control,1991
576,0.8539184235,approximation algorithm,1991
577,0.8498519841,network architecture,1991
578,0.823857639,neural network model,1991
579,0.8223567883,test cases,1991
580,0.8182366121,simulation models,1991
581,0.8074680355,stuck at faults,1991
582,0.8036085543,scheduling algorithm,1991
583,0.8035267382,distributed applications,1991
584,0.7931567722,b spline,1991
585,0.7909123138,object based,1991
586,0.7607030949,logic based,1991
587,0.7591000985,parallel simulation,1991
588,0.758964331,data set,1991
589,0.7526881176,test data,1991
590,0.7451596497,synthetic aperture,1991
591,0.7430911918,autonomous mobile,1991
592,0.7344081644,routing algorithms,1991
593,0.733711474,logic circuits,1991
594,0.7305986934,simulation experiments,1991
595,0.7086344368,off line,1991
596,0.7075035357,network performance,1991
597,0.7042526722,well founded,1991
598,0.7027589909,fast fourier,1991
599,0.6860202718,test results,1991
600,0.6803618842,significant improvement,1991
601,0.6800217062,test problems,1991
602,0.6796284059,analytical results,1991
603,0.6791233654,b isdn,1991
604,0.6774498207,article describes,1991
605,0.6755715659,algorithm requires,1991
606,0.6734352963,programming problems,1991
607,0.6709426128,iterative algorithm,1991
608,0.6692403959,back propagation,1991
609,0.6645034321,muc 3,1991
610,0.6583314943,dimensional space,1991
611,0.6454949678,multiple data,1991
612,0.6300606858,control method,1991
613,0.6295922427,mean square error,1991
614,0.6287922311,memory multiprocessors,1991
615,0.6237051608,level synthesis,1991
616,0.6230791874,self organizing,1991
617,0.6198742641,results suggest,1991
618,0.6164722978,highly parallel,1991
619,0.6106850142,markov model,1991
620,0.609803641,algorithm called,1991
621,0.6061167469,de la,1991
622,0.605257793,experimental data,1991
623,0.6039193996,least squares,1991
624,0.9743513745,cache coherence,1993
625,0.9734476356,virtual reality,1993
626,0.972944882,tabu search,1993
627,0.964908338,discrete cosine transform,1993
628,0.9625016281,image compression,1993
629,0.9586964659,turing machines,1993
630,0.9578751028,volume rendering,1993
631,0.9575188036,cellular automata,1993
632,0.9558185438,coded modulation,1993
633,0.9554767926,predicate logic,1993
634,0.9554304791,scientific visualization,1993
635,0.9541521079,packet loss,1993
636,0.9527041136,wavelet transform,1993
637,0.9519310297,mass storage,1993
638,0.9517988462,molecular dynamics,1993
639,0.9484532811,radial basis function,1993
640,0.9483789873,markov chains,1993
641,0.9470700577,united states,1993
642,0.9469377937,jacobian matrix,1993
643,0.946891875,artificial neural network,1993
644,0.9467671261,lambda calculus,1993
645,0.9465639761,reverse engineering,1993
646,0.9460483934,hidden markov models,1993
647,0.9451755548,case based reasoning,1993
648,0.9441940446,chuas circuit,1993
649,0.9430632078,redundant manipulators,1993
650,0.9405056777,maximum entropy,1993
651,0.9390698607,critical path,1993
652,0.9388299428,virtual memory,1993
653,0.9388262725,wormhole routing,1993
654,0.9385034311,quadratic programming,1993
655,0.9384967258,euclidean distance,1993
656,0.9369539387,cell loss,1993
657,0.9368677156,continuous speech recognition,1993
658,0.9352632891,partially ordered,1993
659,0.9344924177,fine grain,1993
660,0.9340078113,image restoration,1993
661,0.9333900777,fuzzy set,1993
662,0.9322618763,resource allocation,1993
663,0.9321648597,leaky bucket,1993
664,0.9321284097,virtual environments,1993
665,0.9311014675,line segment,1993
666,0.9310470199,filter banks,1993
667,0.9290576088,disjoint paths,1993
668,0.9255265005,partial scan,1993
669,0.9252982261,theorem prover,1993
670,0.9249102004,virtual environment,1993
671,0.9245756591,mathematical programming,1993
672,0.9242338863,primal dual,1993
673,0.9239252881,finite difference,1993
674,0.9235251944,client server,1993
675,0.9225795872,direct manipulation,1993
676,0.9220137873,switched capacitor,1993
677,0.9216038425,sequential circuit,1993
678,0.921045927,graphical user interface,1993
679,0.9210227892,disk arrays,1993
680,0.919633945,real valued,1993
681,0.9189625595,cross correlation,1993
682,0.9189482751,object oriented databases,1993
683,0.9189379178,inverse dynamics,1993
684,0.9188953574,binary decision diagrams,1993
685,0.9183866538,vlsi chip,1993
686,0.917195762,gray scale,1993
687,0.9167989727,inverse kinematic,1993
688,0.9160129133,belief revision,1993
689,0.9153728818,string matching,1993
690,0.9153132106,filter bank,1993
691,0.9151208479,fast fourier transform,1993
692,0.911738711,obstacle avoidance,1993
693,0.9108654355,perfect reconstruction,1993
694,0.9106454357,vector quantizer,1993
695,0.9099976728,magnetic resonance,1993
696,0.9098751466,bandwidth allocation,1993
697,0.9094323387,parallel computing,1993
698,0.9087341499,interior point,1993
699,0.9084769084,dual bus,1993
700,0.9080100368,deadlock free,1993
701,0.907961263,set theory,1993
702,0.906798548,inductive learning,1993
703,0.9065585808,mixed integer,1993
704,0.9051451388,fine grained,1993
705,0.9049986029,amino acid,1993
706,0.9041122473,query languages,1993
707,0.9028418325,queue length,1993
708,0.9028290064,digital filter,1993
709,0.9018444368,entity relationship,1993
710,0.9015468921,fuzzy sets,1993
711,0.9015346442,programmable gate arrays,1993
712,0.9013479264,voronoi diagrams,1993
713,0.9007834803,division multiple access,1993
714,0.9004423586,constraint satisfaction problems,1993
715,0.8992053877,tree structured,1993
716,0.8990974047,stochastic petri nets,1993
717,0.8982297859,safety critical,1993
718,0.8981650448,stewart platform,1993
719,0.8968508609,high throughput,1993
720,0.8968430137,decision makers,1993
721,0.8958299107,linear combination,1993
722,0.893666805,low power,1993
723,0.8935539563,ab initio,1993
724,0.8905132415,ad hoc,1993
725,0.8894555465,flip flops,1993
726,0.8894103118,short term,1993
727,0.8879066579,fuzzy inference,1993
728,0.8851062278,feedforward neural networks,1993
729,0.8840004857,network flow,1993
730,0.8828864013,bayesian networks,1993
731,0.8823283411,group communication,1993
732,0.8814382345,reed solomon,1993
733,0.880252133,object oriented languages,1993
734,0.8802328359,finite impulse response,1993
735,0.8794778256,bipartite graph,1993
736,0.878824805,low pass,1993
737,0.8783938359,undirected graph,1993
738,0.8774540206,open loop,1993
739,0.8767736671,frequency response,1993
740,0.8762645325,man machine,1993
741,0.8761702079,polynomial size,1993
742,0.8743372401,software reuse,1993
743,0.8743097311,spl mum,1993
744,0.8723272596,performance improvement,1993
745,0.8721969471,distributed shared memory,1993
746,0.8714413128,moving object,1993
747,0.8714124715,finite impulse response fir,1993
748,0.870901506,configuration space,1993
749,0.8688209433,low latency,1993
750,0.8681600027,high frequency,1993
751,0.8672953652,mixed signal,1993
752,0.8653020992,formal definition,1993
753,0.8651925074,formal semantics,1993
754,0.865027937,file systems,1993
755,0.863820106,error correction,1993
756,0.8635661723,instruction level,1993
757,0.8620649614,radial basis,1993
758,0.8617025962,functional languages,1993
759,0.8616707932,digital circuits,1993
760,0.8613940875,spl times,1993
761,0.8607155798,model checking,1993
762,0.8605038885,abstract interpretation,1993
763,0.8600151733,parameter space,1993
764,0.8587942669,partial order,1993
765,0.8586699114,robot manipulator,1993
766,0.8572371768,force control,1993
767,0.8558348575,multi user,1993
768,0.8551794167,dynamical systems,1993
769,0.8548719762,software components,1993
770,0.8547329635,requirements engineering,1993
771,0.8544930519,software maintenance,1993
772,0.8540851175,rule base,1993
773,0.8533277159,viterbi algorithm,1993
774,0.8526497644,information theoretic,1993
775,0.8522459983,wide area,1993
776,0.8519334857,address space,1993
777,0.8489948254,maximum degree,1993
778,0.8482074126,cosine transform,1993
779,0.8472334044,constrained optimization,1993
780,0.8468807091,fuzzy controller,1993
781,0.8435416807,fir filters,1993
782,0.8431364922,log log,1993
783,0.8412931267,atm network,1993
784,0.8411929026,high priority,1993
785,0.8411033569,multi agent,1993
786,0.840887174,transfer functions,1993
787,0.8408631453,simulation environment,1993
788,0.8387691017,belief network,1993
789,0.83806936,current mode,1993
790,0.8352425505,integrity constraints,1993
791,0.8352330468,memory modules,1993
792,0.8347646886,multimedia applications,1993
793,0.8332386634,parallel implementations,1993
794,0.8330561915,information management,1993
795,0.8329304637,state feedback,1993
796,0.8315075654,force feedback,1993
797,0.8312101977,adaptive routing,1993
798,0.8293581874,step size,1993
799,0.827047821,case tools,1993
800,0.8268763222,high speed networks,1993
801,0.8268384364,flow graph,1993
802,0.8256780979,secondary structure,1993
803,0.8252395189,john wiley sons,1993
804,0.8248183007,local minima,1993
805,0.8224578891,sampling rate,1993
