Source,Target, Weight
computational complexity,significantly reduced,301
computational complexity,reduced complexity,176
computational complexity,power consumption,234
computational complexity,spectral efficiency,180
computational complexity,numerical simulations,171
computational complexity,power allocation,215
computational complexity,wireless sensor networks,223
objective function,quadratic programming,158
objective function,optimal control,158
objective function,linear programming,453
objective function,optimization algorithm,240
objective function,integer programming,157
objective function,computational experiments,159
objective function,particle swarm optimization,229
mutual information,feature selection,421
mutual information,image registration,322
mutual information,mutual information mi,253
mutual information,information theory,199
information retrieval,document retrieval,161
information retrieval,retrieval performance,157
information retrieval,relevance feedback,184
information retrieval,natural language processing,213
information retrieval,relevant documents,265
information retrieval,search engines,182
information retrieval,machine learning,360
information retrieval,web search,325
information retrieval,search engine,341
information retrieval,search results,274
information retrieval,text mining,160
information retrieval,semantic web,254
information retrieval,information extraction,180
distributed systems,load balancing,230
distributed systems,fault tolerance,316
distributed systems,petri nets,183
distributed systems,large scale,153
distributed systems,access control,155
distributed systems,web services,200
distributed systems,cloud computing,178
higher level,low level,183
mental model,mental models,179
social sciences,social science,152
motion control,mobile robot,163
source code,programming language,304
source code,software development,431
source code,static analysis,357
source code,embedded systems,173
source code,machine learning,160
source code,operating system,187
source code,open source software,239
source code,program comprehension,191
source code,software maintenance,168
nash equilibria,nash equilibrium,575
optimization problems,optimization problem,661
optimization problems,objective function,350
optimization problems,optimal solution,246
optimization problems,numerical results,215
optimization problems,linear programming,160
optimization problems,global optimization,179
optimization problems,genetic algorithms,272
optimization problems,search space,160
optimization problems,evolutionary algorithms,238
optimization problems,evolutionary algorithm,160
optimization problems,particle swarm optimization,152
decision problems,decision problem,171
image sensor,image sensors,161
sufficient condition,theoretical results,157
fault detection,fault tolerant,155
fault detection,fault tolerance,220
fault detection,fault diagnosis,470
fault detection,neural network,174
statistical methods,machine learning,159
air pollution,air quality,196
computer science,software development,207
computer science,information technology,377
digital image,image processing,172
boundary condition,boundary conditions,313
question answering,information retrieval,195
greedy algorithm,optimization problem,160
greedy algorithm,optimal solution,188
greedy algorithm,approximation algorithm,158
greedy algorithm,greedy algorithms,172
petri net,petri nets,1862
special cases,optimization problem,152
formal methods,formal verification,258
formal methods,formal specification,274
error probability,performance analysis,169
least squares,parameter estimation,200
complete graph,complete graphs,168
low cost,small size,152
low cost,real time,357
low cost,power consumption,199
low cost,wireless sensor networks,252
image processing,parallel processing,164
image processing,feature extraction,491
image processing,image data,418
image processing,image quality,362
image analysis,image segmentation,468
image analysis,feature extraction,243
image analysis,pattern recognition,281
image analysis,image processing,569
image analysis,computer vision,403
image analysis,remote sensing,203
image analysis,image data,247
image analysis,machine learning,185
metric space,metric spaces,370
dimensionality reduction,feature selection,356
dimensionality reduction,pattern recognition,221
dimensionality reduction,feature extraction,376
dimensionality reduction,feature space,233
dimensionality reduction,face recognition,255
dimensionality reduction,linear discriminant analysis lda,176
dimensionality reduction,machine learning,312
hierarchical clustering,clustering algorithms,188
hierarchical clustering,clustering algorithm,184
fault tolerant,fault tolerance,984
decision support systems,decision support,651
convex hull,convex hulls,153
supervised learning,reinforcement learning,161
supervised learning,training set,206
discrete cosine transform,discrete wavelet transform,151
discrete cosine transform,image compression,207
discrete cosine transform,computational complexity,164
content analysis,social media,163
project management,software development,316
project management,project managers,244
mean square,sufficient conditions,192
convex optimization,objective function,243
convex optimization,optimization problem,492
convex optimization,optimal solution,254
convex optimization,numerical examples,171
convex optimization,power allocation,184
convex optimization,resource allocation,194
global optimization,objective function,407
global optimization,global optimum,210
global optimization,benchmark functions,231
global optimization,particle swarm optimization,235
global optimization,particle swarm optimization pso,163
user interface,user experience,209
user interface,user interface design,316
user interface,user interaction,204
user interface,augmented reality,162
user interface,web applications,167
user interface,user study,235
edge detection,image processing,435
edge detection,image segmentation,183
access control,key management,183
reinforcement learning,dynamic programming,196
reinforcement learning,markov decision process,165
reinforcement learning,optimal control,199
reinforcement learning,state space,243
linked data,linked open data,153
total variation,image restoration,173
minimum spanning tree,spanning tree,204
image registration,image processing,220
image registration,similarity measure,163
performance improvement,performance degradation,158
fault tolerance,error detection,169
fault tolerance,wireless sensor networks,189
fault tolerance,cloud computing,195
real world,large scale,334
real world,computer science,178
real world,machine learning,506
real world,mobile robot,221
real world,computer vision,301
real world,decision making,296
real world,objective function,154
real world,virtual reality,235
real world,case studies,205
real world,neural networks,233
real world,neural network,288
real world,genetic algorithm,263
real world,virtual environment,227
real world,existing methods,173
real world,social networks,343
real world,training data,204
real world,augmented reality,429
real world,wide range,322
real world,feature selection,153
real world,data mining,414
real world,real time,353
real world,optimization problem,162
real world,semantic web,152
real world,web services,157
real world,augmented reality ar,179
real world,wireless sensor networks,185
real world,proposed framework,152
real world,social media,163
control problem,optimal control,377
image compression,image data,174
image compression,image processing,211
image compression,compression ratios,154
image compression,discrete wavelet transform,151
computational results,linear programming,281
computational results,optimal solution,255
computational results,objective function,214
computational results,randomly generated,237
computational results,integer programming,275
computational results,tabu search,256
computational results,genetic algorithm,264
computational results,valid inequalities,178
computational results,local search,257
normal form,normal forms,237
efficient algorithms,computational complexity,152
expert systems,artificial intelligence,238
fuzzy sets,fuzzy set,324
specification language,formal specification,180
hearing aid,hearing aids,193
linear prediction,speech signal,162
vocal tract,speech production,156
speech signals,speech signal,402
speech signal,speech recognition,392
speech signal,speech enhancement,218
performance evaluation,computational complexity,150
performance evaluation,petri nets,160
performance evaluation,numerical results,350
performance evaluation,performance measures,251
performance evaluation,resource allocation,206
performance evaluation,large scale,169
performance evaluation,load balancing,173
performance evaluation,packet loss,299
performance evaluation,performance improvement,177
performance evaluation,network performance,267
performance evaluation,theoretical analysis,157
performance evaluation,ad hoc,381
performance evaluation,performance degradation,162
performance evaluation,wide range,277
performance evaluation,quality of service,211
performance evaluation,base station,205
performance evaluation,quality of service qos,346
performance evaluation,real time,237
performance evaluation,wireless communication,227
performance evaluation,cellular networks,171
performance evaluation,physical layer,163
performance evaluation,power consumption,201
performance evaluation,wireless network,173
performance evaluation,routing protocol,242
performance evaluation,wireless networks,217
performance evaluation,response time,223
performance evaluation,wireless sensor networks,415
performance evaluation,wireless sensor networks wsns,171
performance evaluation,cloud computing,237
performance evaluation,cognitive radio,160
speech processing,speech recognition,202
compression ratio,image compression,283
compression ratio,compression ratios,155
compression ratio,compression algorithm,155
input data,neural network,426
input data,neural networks,279
input data,machine learning,252
input data,training data,156
input data,data mining,203
source coding,side information,193
near optimal,optimal solution,167
performance analysis,performance evaluation,668
performance analysis,performance measures,310
performance analysis,numerical results,862
performance analysis,physical layer,158
performance analysis,performance improvement,159
performance analysis,bit error rate,228
performance analysis,analytical model,494
performance analysis,closed form,206
performance analysis,network performance,244
performance analysis,analytical results,519
performance analysis,ad hoc,270
performance analysis,wireless networks,216
performance analysis,cloud computing,167
banach space,banach spaces,201
cellular automaton,cellular automata,479
intelligent systems,artificial intelligence,178
distributed computing,distributed systems,429
distributed computing,load balancing,158
distributed computing,fault tolerance,154
distributed computing,cloud computing,298
approximation algorithm,undirected graph,152
decision tree,feature selection,236
decision tree,machine learning,662
decision tree,decision trees,1220
decision tree,neural network,268
decision tree,training data,228
decision tree,neural networks,167
decision tree,support vector machine,339
decision tree,data mining,699
decision tree,naive bayes,233
decision tree,random forest,160
main result,approximation algorithm,161
code generation,code generator,170
code generation,embedded systems,169
image segmentation,feature extraction,218
image segmentation,pattern recognition,191
image segmentation,image processing,725
image segmentation,prior knowledge,150
image segmentation,object recognition,196
image segmentation,computer vision,522
image segmentation,neural network,167
image segmentation,clustering algorithm,166
image segmentation,segmentation algorithm,400
image segmentation,magnetic resonance,191
image segmentation,objective function,170
image segmentation,spatial information,182
image segmentation,ground truth,168
image segmentation,active contour,156
image segmentation,based segmentation,158
image segmentation,remote sensing,185
image segmentation,segmentation algorithms,221
network topology,routing algorithm,151
network topology,routing protocol,316
network topology,network performance,224
network topology,network topologies,340
network topology,ad hoc,602
network topology,network connectivity,152
network topology,wireless sensor network,152
network topology,wireless sensor networks,452
network topology,wireless networks,176
combinatorial optimization,objective function,184
combinatorial optimization,traveling salesman problem,162
combinatorial optimization,optimal solution,244
environmental monitoring,wireless sensor networks wsns,154
temporal logic,model checking,201
virtual environment,virtual environments,444
virtual environment,virtual world,317
virtual environment,virtual reality vr,180
software quality,software development,294
operational semantics,denotational semantics,162
operational semantics,programming language,213
clinical trial,clinical trials,237
random graph,random graphs,407
input device,input devices,179
virtual machines,operating systems,192
virtual machines,operating system,195
virtual machines,resource utilization,194
virtual machines,resource allocation,201
virtual machines,cloud computing,1048
virtual machines,power consumption,168
virtual machines,live migration,174
hash function,hash functions,531
formal verification,formal specification,160
load balancing,large scale,161
load balancing,fault tolerance,279
load balancing,resource allocation,162
load balancing,dynamic load balancing,433
load balancing,resource utilization,162
load balancing,load distribution,209
load balancing,load imbalance,231
load balancing,ad hoc,150
load balancing,response time,246
load balancing,wireless sensor networks,239
load balancing,data center,168
load balancing,cloud computing,272
united kingdom,united states,164
synthetic aperture radar,synthetic aperture radar sar,208
cayley graph,cayley graphs,179
shared memory,message passing,402
ct scans,computed tomography,178
parallel algorithms,parallel algorithm,386
numerical results,computationally efficient,155
numerical results,optimization problem,950
numerical results,numerical solution,470
numerical results,approximate solution,150
numerical results,performance measures,254
numerical results,differential equations,181
numerical results,objective function,454
numerical results,performance improvement,166
numerical results,error probability,162
numerical results,special cases,202
numerical results,large scale,181
numerical results,boundary conditions,342
numerical results,global optimization,175
numerical results,convergence rate,206
numerical results,linear programming,256
numerical results,dynamic programming,189
numerical results,closed form,303
numerical results,monte carlo,272
numerical results,second order,271
numerical results,performance degradation,158
numerical results,fading channels,315
numerical results,iterative algorithm,263
numerical results,analytical results,326
numerical results,numerical methods,229
numerical results,bit error rate,219
numerical results,partial differential equations,199
numerical results,exact solution,171
numerical results,rayleigh fading,167
numerical results,blocking probability,196
numerical results,computational cost,199
numerical results,numerical simulation,164
numerical results,computational complexity,531
numerical results,theoretical analysis,576
numerical results,existing methods,190
numerical results,line search,171
numerical results,mathematical model,224
numerical results,probability density function,184
numerical results,degrees of freedom,153
numerical results,analytical expressions,183
numerical results,analytical model,351
numerical results,power control,429
numerical results,quality of service,171
numerical results,performance gain,162
numerical results,bit error rate ber,200
numerical results,orthogonal frequency division multiplexing,316
numerical results,error estimates,190
numerical results,transmission rate,213
numerical results,power consumption,284
numerical results,base station,728
numerical results,physical layer,316
numerical results,significantly improve,181
numerical results,convex optimization,265
numerical results,ad hoc,269
numerical results,nash equilibrium,165
numerical results,numerical simulations,165
numerical results,optimal power allocation,277
numerical results,power allocation,742
numerical results,low complexity,249
numerical results,adaptive modulation,157
numerical results,wireless networks,397
numerical results,wireless sensor networks,328
numerical results,cellular network,243
numerical results,joint optimization,150
numerical results,finite element method,159
numerical results,cognitive radio,919
numerical results,relay nodes,176
numerical results,primary user,226
numerical results,network coding,182
numerical results,secondary users sus,176
numerical results,relay node,162
numerical results,massive mimo,174
query processing,query language,224
query processing,query optimization,271
query processing,query execution,230
query processing,data management,218
query processing,efficient query processing,162
numerical solution,differential equations,222
numerical solution,numerical methods,197
numerical solution,optimal control,155
preliminary results,machine learning,163
decision makers,decision support,366
decision makers,group decision making,174
planar graphs,planar graph,825
planar graphs,maximum degree,258
performance measures,performance measure,217
performance measures,numerical examples,155
fault coverage,fault detection,152
fault coverage,fault simulation,175
fault coverage,benchmark circuits,184
computer vision,image processing,1265
computer vision,image data,251
computer vision,edge detection,179
computer vision,pattern recognition,912
computer vision,image registration,151
computer vision,natural language,155
computer vision,real images,184
computer vision,object recognition,731
computer vision,feature extraction,402
computer vision,signal processing,152
computer vision,image sequences,219
computer vision,real data,208
computer vision,image features,193
computer vision,optical flow,318
computer vision,machine learning,816
computer vision,image retrieval,205
computer vision,face recognition,364
computer vision,augmented reality,223
computer vision,training data,230
computer vision,proposed framework,174
higher order,second order,236
higher order,first order,216
reference frame,reference frames,158
computationally efficient,computational complexity,468
computationally efficient,computational cost,159
time series,remote sensing,348
time series,neural networks,518
time series,anomaly detection,151
time series,neural network,557
time series,feature extraction,165
time series,financial time series,207
time series,support vector machine,154
time series,dynamic time warping,188
time series,real world,207
time series,real time,173
time series,land cover,152
time series,gene expression,187
time series,multivariate time series,231
time series,time series analysis,183
ad hoc,routing algorithms,212
ad hoc,routing protocol,1466
ad hoc,base stations,152
ad hoc,routing algorithm,293
ad hoc,quality of service qos,317
ad hoc,highly dynamic,202
ad hoc,fully distributed,172
ad hoc,resource allocation,165
ad hoc,power control,268
ad hoc,base station,150
ad hoc,ad hoc routing protocols,222
ad hoc,neighboring nodes,186
ad hoc,network lifetime,236
ad hoc,packet delivery,274
ad hoc,mobile ad hoc network,672
ad hoc,based routing,185
ad hoc,transmission power,375
ad hoc,ad hoc network,198
ad hoc,routing overhead,168
ad hoc,key management,171
optical flow,moving objects,204
optical flow,motion estimation,327
machine vision,image processing,198
cost function,dynamic programming,248
cost function,objective function,184
cost function,optimal control,370
cost function,optimal solution,225
cost function,cost functions,585
cost function,computational complexity,204
cost function,neural network,203
cost function,neural networks,170
word sense disambiguation,word sense disambiguation wsd,201
interconnection network,interconnection networks,309
processing elements,processing element,150
fixed points,fixed point,389
data analysis,data mining,463
data analysis,machine learning,280
data analysis,gene expression,234
data analysis,big data,162
hardware implementation,neural network,196
hardware implementation,power consumption,178
hardware implementation,neural networks,154
hardware implementation,real time,162
hardware implementation,field programmable gate array,166
recognition accuracy,speech recognition,320
recognition accuracy,feature extraction,154
recognition accuracy,face recognition,185
decision maker,decision makers,493
error rate,speech recognition,375
error rate,error rates,396
error rate,training data,156
speech quality,speech enhancement,176
image data,image segmentation,204
image data,image retrieval,167
