,ID,Label,Count,Year Range
50,proposed framework (2010-2014),proposed framework (2010-2014),4958,2010-2014
51,cloud computing (2015-2017),cloud computing (2015-2017),4956,2015-2017
52,theoretical analysis (2010-2014),theoretical analysis (2010-2014),4921,2010-2014
53,objective function (2010-2014),objective function (2010-2014),4787,2010-2014
54,optimization problem (2015-2017),optimization problem (2015-2017),4782,2015-2017
55,power consumption (2005-2009),power consumption (2005-2009),4762,2005-2009
56,performance evaluation (2005-2009),performance evaluation (2005-2009),4755,2005-2009
57,real world (2005-2009),real world (2005-2009),4680,2005-2009
58,training data (2010-2014),training data (2010-2014),4674,2010-2014
59,data analysis (2010-2014),data analysis (2010-2014),4657,2010-2014
60,software development (2010-2014),software development (2010-2014),4627,2010-2014
61,computational complexity (2015-2017),computational complexity (2015-2017),4594,2015-2017
62,social media (2010-2014),social media (2010-2014),4542,2010-2014
63,power consumption (2015-2017),power consumption (2015-2017),4527,2015-2017
64,optimal solution (2010-2014),optimal solution (2010-2014),4513,2010-2014
65,feature selection (2010-2014),feature selection (2010-2014),4488,2010-2014
66,existing approaches (2010-2014),existing approaches (2010-2014),4465,2010-2014
67,important role (2005-2009),important role (2005-2009),4403,2005-2009
68,signal processing (2010-2014),signal processing (2010-2014),4308,2010-2014
69,numerical experiments (2010-2014),numerical experiments (2010-2014),4306,2010-2014
70,time series (2010-2014),time series (2010-2014),4276,2010-2014
71,real time (2015-2017),real time (2015-2017),4276,2015-2017
72,information retrieval (2010-2014),information retrieval (2010-2014),4195,2010-2014
73,performance analysis (2005-2009),performance analysis (2005-2009),4183,2005-2009
74,base station (2010-2014),base station (2010-2014),4179,2010-2014
75,sufficient conditions (2010-2014),sufficient conditions (2010-2014),4161,2010-2014
76,social media (2015-2017),social media (2015-2017),4128,2015-2017
77,existing methods (2015-2017),existing methods (2015-2017),4087,2015-2017
78,computer science (2010-2014),computer science (2010-2014),4070,2010-2014
79,wireless communication (2010-2014),wireless communication (2010-2014),4068,2010-2014
80,web services (2010-2014),web services (2010-2014),4012,2010-2014
81,neural network (2015-2017),neural network (2015-2017),4010,2015-2017
82,source code (2010-2014),source code (2010-2014),4008,2010-2014
83,numerical simulations (2010-2014),numerical simulations (2010-2014),3953,2010-2014
84,very large (2010-2014),very large (2010-2014),3952,2010-2014
85,optimization problem (2005-2009),optimization problem (2005-2009),3925,2005-2009
86,real world (2015-2017),real world (2015-2017),3875,2015-2017
87,computer vision (2015-2017),computer vision (2015-2017),3859,2015-2017
88,software engineering (2010-2014),software engineering (2010-2014),3825,2010-2014
89,semantic web (2005-2009),semantic web (2005-2009),3787,2005-2009
90,information technology (2010-2014),information technology (2010-2014),3775,2010-2014
91,extensive experiments (2010-2014),extensive experiments (2010-2014),3730,2010-2014
92,software development (2005-2009),software development (2005-2009),3687,2005-2009
93,large scale (2005-2009),large scale (2005-2009),3684,2005-2009
94,neural network (2000-2004),neural network (2000-2004),3677,2000-2004
95,low power (2010-2014),low power (2010-2014),3660,2010-2014
96,quality of service qos (2010-2014),quality of service qos (2010-2014),3633,2010-2014
97,wireless sensor networks (2015-2017),wireless sensor networks (2015-2017),3631,2015-2017
98,case studies (2005-2009),case studies (2005-2009),3601,2005-2009
99,image processing (2005-2009),image processing (2005-2009),3600,2005-2009
100,decision making (2005-2009),decision making (2005-2009),3598,2005-2009
101,mathematical model (2010-2014),mathematical model (2010-2014),3594,2010-2014
102,low cost (2010-2014),low cost (2010-2014),3590,2010-2014
103,previous studies (2010-2014),previous studies (2010-2014),3553,2010-2014
104,web service (2005-2009),web service (2005-2009),3515,2005-2009
105,remote sensing (2010-2014),remote sensing (2010-2014),3503,2010-2014
106,embedded systems (2010-2014),embedded systems (2010-2014),3474,2010-2014
107,information retrieval (2005-2009),information retrieval (2005-2009),3472,2005-2009
108,software engineering (2005-2009),software engineering (2005-2009),3465,2005-2009
109,natural language (2010-2014),natural language (2010-2014),3458,2010-2014
110,large scale (2015-2017),large scale (2015-2017),3433,2015-2017
111,significant improvement (2010-2014),significant improvement (2010-2014),3425,2010-2014
112,proposed framework (2015-2017),proposed framework (2015-2017),3417,2015-2017
113,numerical examples (2005-2009),numerical examples (2005-2009),3408,2005-2009
114,article presents (2010-2014),article presents (2010-2014),3373,2010-2014
115,wireless sensor networks wsns (2010-2014),wireless sensor networks wsns (2010-2014),3364,2010-2014
116,semantic web (2010-2014),semantic web (2010-2014),3352,2010-2014
117,extensive experiments (2015-2017),extensive experiments (2015-2017),3327,2015-2017
118,social networks (2015-2017),social networks (2015-2017),3319,2015-2017
119,feature extraction (2005-2009),feature extraction (2005-2009),3308,2005-2009
120,special case (2010-2014),special case (2010-2014),3308,2010-2014
121,computational cost (2010-2014),computational cost (2010-2014),3289,2010-2014
122,main contribution (2010-2014),main contribution (2010-2014),3273,2010-2014
123,pattern recognition (2010-2014),pattern recognition (2010-2014),3252,2010-2014
124,real data (2005-2009),real data (2005-2009),3236,2005-2009
125,numerical examples (2015-2017),numerical examples (2015-2017),3229,2015-2017
126,open source (2010-2014),open source (2010-2014),3223,2010-2014
127,wireless network (2010-2014),wireless network (2010-2014),3222,2010-2014
128,service providers (2010-2014),service providers (2010-2014),3220,2010-2014
129,linear programming (2010-2014),linear programming (2010-2014),3217,2010-2014
130,significantly improve (2010-2014),significantly improve (2010-2014),3198,2010-2014
131,theoretical results (2010-2014),theoretical results (2010-2014),3195,2010-2014
132,next generation (2010-2014),next generation (2010-2014),3191,2010-2014
133,data mining (2015-2017),data mining (2015-2017),3183,2015-2017
134,preliminary results (2010-2014),preliminary results (2010-2014),3164,2010-2014
135,real data (2015-2017),real data (2015-2017),3162,2015-2017
136,support vector machine (2005-2009),support vector machine (2005-2009),3155,2005-2009
137,previous works (2010-2014),previous works (2010-2014),3152,2010-2014
138,information technology (2005-2009),information technology (2005-2009),3138,2005-2009
139,genetic algorithms (2005-2009),genetic algorithms (2005-2009),3100,2005-2009
140,existing methods (2005-2009),existing methods (2005-2009),3100,2005-2009
141,neural networks (2015-2017),neural networks (2015-2017),3100,2015-2017
142,proposed solution (2010-2014),proposed solution (2010-2014),3086,2010-2014
143,and its application (2010-2014),and its application (2010-2014),3078,2010-2014
144,social network (2015-2017),social network (2015-2017),3069,2015-2017
145,wide range (2000-2004),wide range (2000-2004),3059,2000-2004
146,cost function (2010-2014),cost function (2010-2014),3055,2010-2014
147,training data (2005-2009),training data (2005-2009),3054,2005-2009
148,case studies (2015-2017),case studies (2015-2017),3046,2015-2017
149,computer science (2005-2009),computer science (2005-2009),3042,2005-2009
150,numerical experiments (2015-2017),numerical experiments (2015-2017),3041,2015-2017
151,decision making (2015-2017),decision making (2015-2017),3040,2015-2017
152,theoretical analysis (2005-2009),theoretical analysis (2005-2009),3033,2005-2009
153,objective function (2015-2017),objective function (2015-2017),3029,2015-2017
154,neural networks (2000-2004),neural networks (2000-2004),3023,2000-2004
155,dynamic programming (2010-2014),dynamic programming (2010-2014),3022,2010-2014
156,support vector machine (2015-2017),support vector machine (2015-2017),3019,2015-2017
157,computer vision (2005-2009),computer vision (2005-2009),3009,2005-2009
158,gene expression (2010-2014),gene expression (2010-2014),3007,2010-2014
159,wireless sensor network (2010-2014),wireless sensor network (2010-2014),2988,2010-2014
160,signal processing (2005-2009),signal processing (2005-2009),2987,2005-2009
161,prior knowledge (2010-2014),prior knowledge (2010-2014),2986,2010-2014
162,image segmentation (2010-2014),image segmentation (2010-2014),2980,2010-2014
163,quality of service (2010-2014),quality of service (2010-2014),2970,2010-2014
164,resource allocation (2005-2009),resource allocation (2005-2009),2961,2005-2009
165,performance evaluation (2015-2017),performance evaluation (2015-2017),2954,2015-2017
166,sufficient conditions (2005-2009),sufficient conditions (2005-2009),2953,2005-2009
167,statistical analysis (2010-2014),statistical analysis (2010-2014),2947,2010-2014
168,neural network (1995-1999),neural network (1995-1999),2928,1995-1999
169,control system (2010-2014),control system (2010-2014),2926,2010-2014
170,user interface (2010-2014),user interface (2010-2014),2907,2010-2014
171,theoretical analysis (2015-2017),theoretical analysis (2015-2017),2902,2015-2017
172,promising results (2010-2014),promising results (2010-2014),2900,2010-2014
173,time series (2005-2009),time series (2005-2009),2898,2005-2009
174,embedded systems (2005-2009),embedded systems (2005-2009),2880,2005-2009
175,optimal control (2010-2014),optimal control (2010-2014),2879,2010-2014
176,face recognition (2010-2014),face recognition (2010-2014),2874,2010-2014
177,future research (2010-2014),future research (2010-2014),2874,2010-2014
178,training data (2015-2017),training data (2015-2017),2869,2015-2017
179,feature selection (2005-2009),feature selection (2005-2009),2864,2005-2009
180,web service (2010-2014),web service (2010-2014),2857,2010-2014
181,time series (2015-2017),time series (2015-2017),2856,2015-2017
182,proposed methodology (2010-2014),proposed methodology (2010-2014),2842,2010-2014
183,data mining (2000-2004),data mining (2000-2004),2840,2000-2004
184,network topology (2010-2014),network topology (2010-2014),2838,2010-2014
185,recent advances (2010-2014),recent advances (2010-2014),2822,2010-2014
186,optimal solution (2005-2009),optimal solution (2005-2009),2816,2005-2009
187,fuzzy logic (2010-2014),fuzzy logic (2010-2014),2812,2010-2014
188,objective function (2005-2009),objective function (2005-2009),2806,2005-2009
189,principal component analysis (2010-2014),principal component analysis (2010-2014),2797,2010-2014
190,energy efficient (2010-2014),energy efficient (2010-2014),2786,2010-2014
191,user experience (2010-2014),user experience (2010-2014),2776,2010-2014
192,extensive simulations (2010-2014),extensive simulations (2010-2014),2756,2010-2014
193,low complexity (2010-2014),low complexity (2010-2014),2747,2010-2014
194,computationally efficient (2010-2014),computationally efficient (2010-2014),2739,2010-2014
195,access control (2010-2014),access control (2010-2014),2738,2010-2014
196,performance improvement (2010-2014),performance improvement (2010-2014),2736,2010-2014
197,optimal solution (2015-2017),optimal solution (2015-2017),2732,2015-2017
198,network performance (2010-2014),network performance (2010-2014),2731,2010-2014
199,decision support (2010-2014),decision support (2010-2014),2730,2010-2014
200,previous research (2010-2014),previous research (2010-2014),2728,2010-2014
201,numerical simulations (2015-2017),numerical simulations (2015-2017),2723,2015-2017
202,pattern recognition (2005-2009),pattern recognition (2005-2009),2716,2005-2009
203,user study (2010-2014),user study (2010-2014),2711,2010-2014
204,social networking (2010-2014),social networking (2010-2014),2703,2010-2014
205,quality of service qos (2005-2009),quality of service qos (2005-2009),2701,2005-2009
206,resource allocation (2015-2017),resource allocation (2015-2017),2696,2015-2017
207,input data (2010-2014),input data (2010-2014),2694,2010-2014
208,real time (2000-2004),real time (2000-2004),2689,2000-2004
209,gene expression (2005-2009),gene expression (2005-2009),2687,2005-2009
210,natural language (2015-2017),natural language (2015-2017),2682,2015-2017
211,image processing (2015-2017),image processing (2015-2017),2661,2015-2017
212,feature extraction (2015-2017),feature extraction (2015-2017),2651,2015-2017
213,user interface (2005-2009),user interface (2005-2009),2649,2005-2009
214,response time (2010-2014),response time (2010-2014),2641,2010-2014
215,monte carlo (2010-2014),monte carlo (2010-2014),2640,2010-2014
216,an intelligent (2005-2009),an intelligent (2005-2009),2637,2005-2009
217,big data (2010-2014),big data (2010-2014),2631,2010-2014
218,support vector machines (2010-2014),support vector machines (2010-2014),2625,2010-2014
219,mobile phones (2010-2014),mobile phones (2010-2014),2621,2010-2014
220,existing approaches (2015-2017),existing approaches (2015-2017),2621,2015-2017
221,state space (2010-2014),state space (2010-2014),2617,2010-2014
222,evaluation results (2010-2014),evaluation results (2010-2014),2604,2010-2014
223,experiment results (2005-2009),experiment results (2005-2009),2598,2005-2009
224,performance analysis (2015-2017),performance analysis (2015-2017),2598,2015-2017
225,load balancing (2010-2014),load balancing (2010-2014),2596,2010-2014
226,wiley periodicals inc (2010-2014),wiley periodicals inc (2010-2014),2596,2010-2014
227,deep learning (2015-2017),deep learning (2015-2017),2591,2015-2017
228,source code (2005-2009),source code (2005-2009),2571,2005-2009
229,particle swarm optimization (2010-2014),particle swarm optimization (2010-2014),2566,2010-2014
230,signal processing (2015-2017),signal processing (2015-2017),2557,2015-2017
231,base station (2015-2017),base station (2015-2017),2552,2015-2017
232,base station (2005-2009),base station (2005-2009),2544,2005-2009
233,genetic algorithms (2010-2014),genetic algorithms (2010-2014),2540,2010-2014
234,supply chain (2010-2014),supply chain (2010-2014),2539,2010-2014
235,computational complexity (2000-2004),computational complexity (2000-2004),2538,2000-2004
236,practical applications (2010-2014),practical applications (2010-2014),2523,2010-2014
237,ad hoc (2000-2004),ad hoc (2000-2004),2522,2000-2004
238,low power (2005-2009),low power (2005-2009),2511,2005-2009
239,empirical results (2010-2014),empirical results (2010-2014),2509,2010-2014
240,neural networks (1995-1999),neural networks (1995-1999),2506,1995-1999
241,genetic algorithm (2015-2017),genetic algorithm (2015-2017),2501,2015-2017
242,previously proposed (2010-2014),previously proposed (2010-2014),2500,2010-2014
243,proposed framework (2005-2009),proposed framework (2005-2009),2499,2005-2009
244,natural language (2005-2009),natural language (2005-2009),2494,2005-2009
245,sufficient conditions (2015-2017),sufficient conditions (2015-2017),2494,2015-2017
246,numerical experiments (2005-2009),numerical experiments (2005-2009),2490,2005-2009
247,reinforcement learning (2010-2014),reinforcement learning (2010-2014),2485,2010-2014
248,wireless network (2005-2009),wireless network (2005-2009),2480,2005-2009
249,recently proposed (2015-2017),recently proposed (2015-2017),2475,2015-2017
250,smart grid (2010-2014),smart grid (2010-2014),2473,2010-2014
251,special cases (2010-2014),special cases (2010-2014),2469,2010-2014
252,access control (2005-2009),access control (2005-2009),2466,2005-2009
253,existing approaches (2005-2009),existing approaches (2005-2009),2464,2005-2009
254,special case (2005-2009),special case (2005-2009),2459,2005-2009
255,classification accuracy (2015-2017),classification accuracy (2015-2017),2459,2015-2017
256,wireless communication (2005-2009),wireless communication (2005-2009),2458,2005-2009
257,existing algorithms (2010-2014),existing algorithms (2010-2014),2452,2010-2014
258,distributed systems (2005-2009),distributed systems (2005-2009),2448,2005-2009
259,an empirical study (2010-2014),an empirical study (2010-2014),2445,2010-2014
260,artificial intelligence (2010-2014),artificial intelligence (2010-2014),2440,2010-2014
261,search space (2005-2009),search space (2005-2009),2423,2005-2009
262,feature selection (2015-2017),feature selection (2015-2017),2414,2015-2017
263,linear programming (2005-2009),linear programming (2005-2009),2413,2005-2009
264,packet loss (2010-2014),packet loss (2010-2014),2396,2010-2014
265,proposed architecture (2010-2014),proposed architecture (2010-2014),2393,2010-2014
266,preliminary results (2005-2009),preliminary results (2005-2009),2391,2005-2009
267,frequency domain (2010-2014),frequency domain (2010-2014),2390,2010-2014
268,fuzzy logic (2005-2009),fuzzy logic (2005-2009),2389,2005-2009
269,support vector machines (2005-2009),support vector machines (2005-2009),2382,2005-2009
270,degrees of freedom (2010-2014),degrees of freedom (2010-2014),2379,2010-2014
271,remote sensing (2015-2017),remote sensing (2015-2017),2375,2015-2017
272,distributed systems (2010-2014),distributed systems (2010-2014),2374,2010-2014
273,dynamic programming (2005-2009),dynamic programming (2005-2009),2372,2005-2009
274,computational cost (2005-2009),computational cost (2005-2009),2352,2005-2009
275,quality of service (2005-2009),quality of service (2005-2009),2348,2005-2009
276,maximum likelihood (2010-2014),maximum likelihood (2010-2014),2347,2010-2014
277,sufficient condition (2010-2014),sufficient condition (2010-2014),2345,2010-2014
278,outage probability (2010-2014),outage probability (2010-2014),2345,2010-2014
279,significant improvement (2005-2009),significant improvement (2005-2009),2334,2005-2009
280,operating system (2010-2014),operating system (2010-2014),2331,2010-2014
281,routing protocol (2010-2014),routing protocol (2010-2014),2323,2010-2014
282,cellular networks (2010-2014),cellular networks (2010-2014),2315,2010-2014
283,mathematical model (2005-2009),mathematical model (2005-2009),2314,2005-2009
284,parameter estimation (2010-2014),parameter estimation (2010-2014),2314,2010-2014
285,low cost (2005-2009),low cost (2005-2009),2298,2005-2009
286,local search (2010-2014),local search (2010-2014),2291,2010-2014
287,face recognition (2005-2009),face recognition (2005-2009),2285,2005-2009
288,control system (2005-2009),control system (2005-2009),2279,2005-2009
289,finite element (2010-2014),finite element (2010-2014),2270,2010-2014
290,mobile phone (2010-2014),mobile phone (2010-2014),2269,2010-2014
291,power allocation (2010-2014),power allocation (2010-2014),2263,2010-2014
292,significantly reduce (2010-2014),significantly reduce (2010-2014),2262,2010-2014
293,current state (2015-2017),current state (2015-2017),2262,2015-2017
294,speech recognition (2010-2014),speech recognition (2010-2014),2259,2010-2014
295,mobile device (2010-2014),mobile device (2010-2014),2253,2010-2014
296,analytical results (2010-2014),analytical results (2010-2014),2253,2010-2014
297,recent research (2010-2014),recent research (2010-2014),2242,2010-2014
298,numerical results (2000-2004),numerical results (2000-2004),2237,2000-2004
299,cognitive radio (2015-2017),cognitive radio (2015-2017),2236,2015-2017
300,network traffic (2010-2014),network traffic (2010-2014),2233,2010-2014
301,complex systems (2010-2014),complex systems (2010-2014),2225,2010-2014
302,mobile robot (2010-2014),mobile robot (2010-2014),2225,2010-2014
303,mutual information (2010-2014),mutual information (2010-2014),2223,2010-2014
304,convex optimization (2010-2014),convex optimization (2010-2014),2223,2010-2014
305,search algorithm (2010-2014),search algorithm (2010-2014),2206,2010-2014
306,previous studies (2015-2017),previous studies (2015-2017),2205,2015-2017
307,image segmentation (2005-2009),image segmentation (2005-2009),2201,2005-2009
308,future research (2015-2017),future research (2015-2017),2201,2015-2017
309,orthogonal frequency division multiplexing (2010-2014),orthogonal frequency division multiplexing (2010-2014),2200,2010-2014
310,significantly improves (2010-2014),significantly improves (2010-2014),2198,2010-2014
311,based method (2010-2014),based method (2010-2014),2198,2010-2014
312,classification accuracy (2005-2009),classification accuracy (2005-2009),2191,2005-2009
313,article presents (2005-2009),article presents (2005-2009),2188,2005-2009
314,based algorithm (2010-2014),based algorithm (2010-2014),2187,2010-2014
315,data management (2010-2014),data management (2010-2014),2181,2010-2014
316,end users (2010-2014),end users (2010-2014),2175,2010-2014
317,web applications (2010-2014),web applications (2010-2014),2168,2010-2014
318,fault tolerance (2010-2014),fault tolerance (2010-2014),2166,2010-2014
319,clustering algorithm (2010-2014),clustering algorithm (2010-2014),2165,2010-2014
320,successfully applied (2010-2014),successfully applied (2010-2014),2165,2010-2014
321,packet loss (2005-2009),packet loss (2005-2009),2154,2005-2009
322,principal component analysis (2005-2009),principal component analysis (2005-2009),2153,2005-2009
323,cost function (2005-2009),cost function (2005-2009),2149,2005-2009
324,theoretical results (2015-2017),theoretical results (2015-2017),2147,2015-2017
325,analytical model (2010-2014),analytical model (2010-2014),2142,2010-2014
326,previously proposed (2005-2009),previously proposed (2005-2009),2140,2005-2009
327,mobile robot (2005-2009),mobile robot (2005-2009),2132,2005-2009
328,significantly outperforms (2010-2014),significantly outperforms (2010-2014),2130,2010-2014
329,monte carlo (2015-2017),monte carlo (2015-2017),2130,2015-2017
330,speech recognition (2005-2009),speech recognition (2005-2009),2123,2005-2009
331,performance evaluation (2000-2004),performance evaluation (2000-2004),2119,2000-2004
332,performance degradation (2010-2014),performance degradation (2010-2014),2119,2010-2014
333,feature space (2010-2014),feature space (2010-2014),2114,2010-2014
334,genetic algorithm (2000-2004),genetic algorithm (2000-2004),2100,2000-2004
335,low cost (2015-2017),low cost (2015-2017),2100,2015-2017
336,network coding (2010-2014),network coding (2010-2014),2098,2010-2014
337,computer simulation (2005-2009),computer simulation (2005-2009),2092,2005-2009
338,image analysis (2010-2014),image analysis (2010-2014),2088,2010-2014
339,ground truth (2010-2014),ground truth (2010-2014),2078,2010-2014
340,remote sensing (2005-2009),remote sensing (2005-2009),2077,2005-2009
341,a comparative study (2010-2014),a comparative study (2010-2014),2076,2010-2014
342,physical layer (2010-2014),physical layer (2010-2014),2075,2010-2014
343,maximum likelihood (2005-2009),maximum likelihood (2005-2009),2072,2005-2009
344,analytical model (2005-2009),analytical model (2005-2009),2070,2005-2009
345,learning algorithm (2010-2014),learning algorithm (2010-2014),2066,2010-2014
346,previous approaches (2010-2014),previous approaches (2010-2014),2066,2010-2014
347,wireless communication (2015-2017),wireless communication (2015-2017),2065,2015-2017
348,routing protocol (2005-2009),routing protocol (2005-2009),2063,2005-2009
349,numerical simulations (2005-2009),numerical simulations (2005-2009),2061,2005-2009
350,image quality (2010-2014),image quality (2010-2014),2061,2010-2014
351,evolutionary algorithms (2010-2014),evolutionary algorithms (2010-2014),2057,2010-2014
352,wireless sensor network (2005-2009),wireless sensor network (2005-2009),2048,2005-2009
353,evolutionary algorithm (2010-2014),evolutionary algorithm (2010-2014),2047,2010-2014
354,transmit power (2010-2014),transmit power (2010-2014),2046,2010-2014
355,virtual machines (2010-2014),virtual machines (2010-2014),2045,2010-2014
356,markov chain (2010-2014),markov chain (2010-2014),2043,2010-2014
357,training set (2010-2014),training set (2010-2014),2040,2010-2014
358,spectral efficiency (2010-2014),spectral efficiency (2010-2014),2033,2010-2014
359,knowledge base (2010-2014),knowledge base (2010-2014),2031,2010-2014
360,knowledge management (2005-2009),knowledge management (2005-2009),2026,2005-2009
361,supervised learning (2010-2014),supervised learning (2010-2014),2025,2010-2014
362,error rate (2010-2014),error rate (2010-2014),2018,2010-2014
363,computer science (2015-2017),computer science (2015-2017),2015,2015-2017
364,probability distribution (2010-2014),probability distribution (2010-2014),2014,2010-2014
365,orders of magnitude (2005-2009),orders of magnitude (2005-2009),2007,2005-2009
366,programming language (2010-2014),programming language (2010-2014),2007,2010-2014
367,response time (2005-2009),response time (2005-2009),1992,2005-2009
368,low complexity (2005-2009),low complexity (2005-2009),1989,2005-2009
369,use cases (2010-2014),use cases (2010-2014),1986,2010-2014
370,source code (2015-2017),source code (2015-2017),1985,2015-2017
371,closely related (2010-2014),closely related (2010-2014),1981,2010-2014
372,state space (2005-2009),state space (2005-2009),1972,2005-2009
373,previous studies (2005-2009),previous studies (2005-2009),1967,2005-2009
374,main contribution (2005-2009),main contribution (2005-2009),1966,2005-2009
375,main result (2010-2014),main result (2010-2014),1961,2010-2014
376,performance analysis (2000-2004),performance analysis (2000-2004),1960,2000-2004
377,main objective (2010-2014),main objective (2010-2014),1960,2010-2014
378,service providers (2005-2009),service providers (2005-2009),1958,2005-2009
379,worst case (2010-2014),worst case (2010-2014),1957,2010-2014
380,network traffic (2005-2009),network traffic (2005-2009),1956,2005-2009
381,decision support (2005-2009),decision support (2005-2009),1955,2005-2009
382,significantly improve (2005-2009),significantly improve (2005-2009),1950,2005-2009
383,synthetic data (2010-2014),synthetic data (2010-2014),1946,2010-2014
384,image processing (2000-2004),image processing (2000-2004),1943,2000-2004
385,computational results (2010-2014),computational results (2010-2014),1943,2010-2014
386,operating system (2005-2009),operating system (2005-2009),1940,2005-2009
387,artificial intelligence (2005-2009),artificial intelligence (2005-2009),1938,2005-2009
388,prior knowledge (2005-2009),prior knowledge (2005-2009),1932,2005-2009
389,input data (2005-2009),input data (2005-2009),1932,2005-2009
390,software engineering (2000-2004),software engineering (2000-2004),1929,2000-2004
391,significant improvements (2010-2014),significant improvements (2010-2014),1923,2010-2014
392,promising results (2005-2009),promising results (2005-2009),1921,2005-2009
393,significantly improved (2010-2014),significantly improved (2010-2014),1921,2010-2014
394,result shows (2010-2014),result shows (2010-2014),1920,2010-2014
395,business process (2010-2014),business process (2010-2014),1917,2010-2014
396,network topology (2005-2009),network topology (2005-2009),1915,2005-2009
397,numerical simulation (2010-2014),numerical simulation (2010-2014),1913,2010-2014
398,future research (2005-2009),future research (2005-2009),1907,2005-2009
399,augmented reality (2010-2014),augmented reality (2010-2014),1904,2010-2014
400,theoretical results (2005-2009),theoretical results (2005-2009),1902,2005-2009
401,data center (2010-2014),data center (2010-2014),1902,2010-2014
402,challenging task (2005-2009),challenging task (2005-2009),1901,2005-2009
403,computationally efficient (2005-2009),computationally efficient (2005-2009),1901,2005-2009
404,decision makers (2010-2014),decision makers (2010-2014),1898,2010-2014
405,reinforcement learning (2005-2009),reinforcement learning (2005-2009),1896,2005-2009
406,load balancing (2005-2009),load balancing (2005-2009),1893,2005-2009
407,previous works (2015-2017),previous works (2015-2017),1892,2015-2017
408,health care (2010-2014),health care (2010-2014),1889,2010-2014
409,approximation algorithm (2010-2014),approximation algorithm (2010-2014),1887,2010-2014
410,frequency domain (2005-2009),frequency domain (2005-2009),1886,2005-2009
411,optimization problems (2005-2009),optimization problems (2005-2009),1881,2005-2009
412,computational cost (2015-2017),computational cost (2015-2017),1881,2015-2017
413,low power (2015-2017),low power (2015-2017),1881,2015-2017
414,genetic algorithm ga (2010-2014),genetic algorithm ga (2010-2014),1877,2010-2014
415,in vivo (2010-2014),in vivo (2010-2014),1876,2010-2014
